city,lat,lon,max temp,humidity,cloudiness,wind_speed,country,date
kunming,53.06,32.85,54.19,91,99,9.95,RU,1596329731
inuvik,-22.56,17.08,51.01,29,0,4.7,NA,1596329731
pangoa,69.49,88.4,60.8,77,100,8.95,RU,1596329731
lesnoy,53.39,-2.58,57.99,82,20,4.7,GB,1596329732
west bay,21.43,39.83,82.81,71,90,17.45,SA,1596329732
grand river south east,-34.73,135.87,56.89,72,100,5.39,AU,1596329732
mount isa,46.95,9.57,68,92,100,1.01,CH,1596329732
labutta,21.35,-158.09,87.8,51,75,5.82,US,1596329586
antalya,51.32,42.77,52.72,95,2,6.04,RU,1596329733
san cristobal,20.47,84.23,77.34,88,100,2.71,IN,1596329733
kavieng,-29.66,17.89,57.16,31,0,9.42,ZA,1596329733
vaniyambadi,20.93,-17.03,73.4,88,20,11.41,MR,1596329733
nanortalik,18.69,12.92,91.35,36,100,6.89,NE,1596329734
ilulissat,37.1,-113.58,107.6,6,1,11.41,US,1596329734
laguna,62.14,117.63,71.78,46,0,3.96,RU,1596329734
mahibadhoo,65.61,-37.64,50,34,0,5.82,GL,1596329734
omboue,40.52,-111.94,99,17,1,13.87,US,1596329735
mglin,-30.18,-50.21,60.04,74,0,9.62,BR,1596329735
windhoek,-3.8,102.27,77.56,78,95,2.95,ID,1596329735
talnakh,-21.69,165.68,71.6,53,90,9.17,NC,1596329736
warrington,-12.74,-60.15,70.47,40,0,2.68,BR,1596329703
mecca,-29.95,-71.34,51.8,93,20,5.82,CL,1596329737
port lincoln,21.4,-157.74,87.8,61,40,9.17,US,1596329737
igis,-22.67,167.48,66.54,71,40,17.4,NC,1596329737
makakilo city,40.6,-124.16,71.01,69,23,1.99,US,1596329737
kamenka,31.61,34.76,75,60,0,4.81,IL,1596329738
phulabani,-0.91,122.88,78.42,81,100,6.24,ID,1596329738
springbok,29.97,40.21,84.2,16,0,4.7,SA,1596329738
nouadhibou,10.37,10.73,73.9,90,100,8.61,NG,1596329739
bilma,0.7,108.9,80.87,81,100,8.5,ID,1596329739
saint george,-20.01,57.66,68,87,95,4,MU,1596329739
suntar,68.05,39.51,50.99,88,100,15.82,RU,1596329740
tasiilaq,40.74,-114.07,102.2,7,1,10.29,US,1596329740
meyungs,4.71,6.79,73.24,88,100,4.85,NG,1596329740
riverton,-20.33,-40.29,66.2,93,90,4.7,BR,1596329649
cidreira,30.33,10.85,77.41,23,0,12.53,LY,1596329741
bengkulu,-8.01,-34.86,77,83,75,11.41,BR,1596329741
moindou,-24.79,-65.41,59,54,0,3.36,AR,1596329741
vilhena,28.37,129.48,86,79,75,5.82,JP,1596329741
coquimbo,35.73,140.83,84,69,40,9.17,JP,1596329741
jujuy,-20.74,116.85,76.23,23,0,3.27,AU,1596329650
kailua,24.8,125.28,80.6,94,75,17.22,JP,1596329742
vao,15.4,73.8,79.21,86,82,10.16,IN,1596329742
fortuna,13.22,-59.52,82.4,78,20,4.7,BB,1596329742
solovetskiy,-45.87,-67.5,53.6,46,0,28.86,AR,1596329642
gat,25.52,90.22,80.38,83,98,2.42,IN,1596329743
biak,-6.32,155.48,82.33,63,31,2.35,PG,1596329744
sakakah,-45.42,167.72,54.16,86,87,2.51,NZ,1596329744
bara,65.82,87.98,63.9,63,3,8.63,RU,1596329745
tumannyy,-16.48,-151.75,79,79,0,10.89,PF,1596329745
sungairaya,29.03,21.55,77.88,67,0,11.99,LY,1596329745
grand gaube,-28.41,-54.96,62.87,94,0,7.27,BR,1596329465
ostrovnoy,-35.34,143.55,61.56,40,0,7.99,AU,1596329746
west wendover,-19.01,-57.65,75.22,37,0,2.1,BR,1596329746
abonnema,8.2,-59.78,75.15,97,95,3.13,GY,1596329747
vila velha,-12.12,-77.05,60.8,82,90,12.75,PE,1596329747
nalut,18.44,1.41,91.2,37,0,12.08,ML,1596329747
olinda,34.64,-120.46,71.01,60,0,13.87,US,1596329747
salta,43.67,-7.41,66.99,1,96,7.76,ES,1596329748
naze,19.22,-104.7,84.2,74,75,2.8,MX,1596329748
hasaki,-18.19,31.55,44.6,81,0,6.93,ZW,1596329748
karratha,29.36,-100.9,100.4,31,1,12.75,US,1596329749
hirara,-33.92,25.57,53.6,93,0,8.05,ZA,1596329749
mormugao,-6.22,155.63,84.58,65,28,3.91,PG,1596329749
bathsheba,16.71,96,80.6,88,75,6.93,MM,1596329749
comodoro rivadavia,-44.7,169.15,51.78,78,100,5.14,NZ,1596329749
tura,48.23,46.72,63.32,79,68,6.35,RU,1596329750
belushya guba,29.45,55.68,74.44,39,83,7.83,IR,1596329750
attawapiskat,45.27,36.33,69.24,62,36,9.71,UA,1596329750
panguna,13.59,-89.83,87.8,48,0,3.36,SV,1596329488
te anau,77.48,-69.36,39.78,71,100,5.95,GL,1596329751
turukhansk,54.32,-130.32,60.8,93,90,8.05,CA,1596329751
faanui,50.68,156.12,56.93,76,80,6.67,RU,1596329751
jalu,69.65,18.96,51.8,87,0,10.29,NO,1596329751
sao luiz gonzaga,22.93,57.53,89.37,44,0,1.39,OM,1596329752
swan hill,-6.84,-79.93,60.35,89,0,13.15,PE,1596329752
corumba,-31.43,152.92,64,72,0,1.86,AU,1596329752
nizhneyansk,-23.16,-49.97,61.68,67,0,5.59,BR,1596329752
toliary,63.05,147.19,63.99,34,0,3.02,RU,1596329752
mabaruma,22.65,79.95,79.05,78,44,3.71,IN,1596329753
san isidro,48.83,58.14,74.35,24,0,4.21,KZ,1596329753
kidal,49.78,-74.85,75.2,60,1,3.36,CA,1596329753
lompoc,63.92,127.47,71.26,44,0,3.8,RU,1596329753
cervo,49.22,143.12,65.01,87,71,14.45,RU,1596329754
san patricio,32.77,22.64,80.33,64,0,19.39,LY,1596329754
marondera,57.05,-135.33,62.6,77,90,13.87,US,1596329638
tsihombe,25.29,51.53,97,79,8,3.36,QA,1596329556
del rio,8.48,76.92,78.8,88,75,3.36,IN,1596329596
port elizabeth,-5.2,-35.46,75.2,88,20,6.93,BR,1596329755
kieta,-3.41,-39.03,79,78,30,17,BR,1596329756
kanbe,31.67,38.66,77,41,0,9.17,SA,1596329756
wanaka,34.42,-119.7,72,72,1,11.41,US,1596329756
